,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.043 ± 0.013,0.016 ± 0.008,0.079 ± 0.018,0.007 ± 0.001,0.125 ± 0.065
30%,0.036 ± 0.004,0.015 ± 0.003,0.083 ± 0.02,0.007 ± 0.001,0.139 ± 0.061
45%,0.034 ± 0.003,0.017 ± 0.003,0.093 ± 0.016,0.007 ± 0.0,0.118 ± 0.004
60%,0.03 ± 0.001,0.016 ± 0.001,0.098 ± 0.003,0.006 ± 0.0,0.135 ± 0.055
75%,0.029 ± 0.001,0.016 ± 0.001,0.097 ± 0.003,0.006 ± 0.0,0.118 ± 0.005
