,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.011 ± 0.001,0.015 ± 0.017,0.069 ± 0.002,0.005 ± 0.0,0.049 ± 0.01
30%,0.026 ± 0.045,0.011 ± 0.001,0.074 ± 0.009,0.006 ± 0.002,0.055 ± 0.004
45%,0.012 ± 0.002,0.014 ± 0.01,0.07 ± 0.003,0.005 ± 0.001,0.056 ± 0.004
60%,0.011 ± 0.001,0.011 ± 0.001,0.067 ± 0.003,0.005 ± 0.0,0.054 ± 0.004
75%,0.014 ± 0.009,0.011 ± 0.001,0.069 ± 0.002,0.005 ± 0.001,0.068 ± 0.042
