,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.035 ± 0.003,0.031 ± 0.002,0.046 ± 0.006,0.01 ± 0.001,0.107 ± 0.01
30%,0.045 ± 0.028,0.035 ± 0.003,0.059 ± 0.008,0.012 ± 0.002,0.155 ± 0.069
45%,0.04 ± 0.006,0.063 ± 0.07,0.1 ± 0.022,0.012 ± 0.003,0.15 ± 0.02
60%,0.037 ± 0.004,0.041 ± 0.005,0.101 ± 0.009,0.011 ± 0.001,0.143 ± 0.011
75%,0.039 ± 0.006,0.046 ± 0.007,0.101 ± 0.01,0.012 ± 0.002,0.169 ± 0.053
