,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.035 ± 0.001,0.016 ± 0.002,0.064 ± 0.011,0.009 ± 0.001,0.183 ± 0.012
30%,0.049 ± 0.048,0.017 ± 0.001,0.097 ± 0.016,0.009 ± 0.0,0.227 ± 0.008
45%,0.031 ± 0.001,0.019 ± 0.001,0.115 ± 0.009,0.009 ± 0.0,0.25 ± 0.053
60%,0.031 ± 0.001,0.021 ± 0.002,0.111 ± 0.004,0.009 ± 0.0,0.252 ± 0.055
75%,0.029 ± 0.001,0.021 ± 0.001,0.111 ± 0.004,0.009 ± 0.0,0.233 ± 0.003
