,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.013 ± 0.002,0.011 ± 0.001,0.081 ± 0.004,0.008 ± 0.0,0.118 ± 0.055
30%,0.012 ± 0.001,0.013 ± 0.001,0.082 ± 0.004,0.008 ± 0.001,0.125 ± 0.057
45%,0.012 ± 0.001,0.014 ± 0.001,0.08 ± 0.002,0.008 ± 0.001,0.11 ± 0.006
60%,0.013 ± 0.002,0.015 ± 0.003,0.083 ± 0.009,0.008 ± 0.001,0.136 ± 0.075
75%,0.012 ± 0.001,0.014 ± 0.002,0.081 ± 0.002,0.008 ± 0.001,0.131 ± 0.054
