,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.036 ± 0.002,0.036 ± 0.001,0.052 ± 0.005,0.014 ± 0.001,0.217 ± 0.01
30%,0.051 ± 0.045,0.046 ± 0.013,0.062 ± 0.006,0.013 ± 0.001,0.254 ± 0.007
45%,0.035 ± 0.001,0.044 ± 0.001,0.101 ± 0.011,0.013 ± 0.001,0.281 ± 0.057
60%,0.051 ± 0.046,0.047 ± 0.001,0.107 ± 0.006,0.013 ± 0.0,0.269 ± 0.004
75%,0.036 ± 0.001,0.049 ± 0.002,0.105 ± 0.003,0.013 ± 0.0,0.287 ± 0.052
