,WLDA,KNNI,MICE,Soft-Impute,DIMV
15%,0.977 ± 0.021,0.86 ± 0.047,0.837 ± 0.046,0.757 ± 0.075,0.847 ± 0.037
30%,0.97 ± 0.035,0.82 ± 0.062,0.813 ± 0.037,0.663 ± 0.126,0.823 ± 0.04
45%,0.947 ± 0.027,0.797 ± 0.064,0.77 ± 0.05,0.67 ± 0.059,0.757 ± 0.056
60%,0.923 ± 0.06,0.72 ± 0.058,0.757 ± 0.045,0.643 ± 0.07,0.757 ± 0.054
75%,0.917 ± 0.06,0.697 ± 0.048,0.743 ± 0.07,0.653 ± 0.083,0.74 ± 0.074
